day,weekday,bias8,bias,tier,adapted,demoted,net,net_pct,am_net,verdict8,verdict,verdict_adapted,policy,draw_hit,po3,flip,news,note
2025-07-23,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,63.0,0.27,-3.8,WRONG,WRONG,WRONG,,False,,False,False,NY +63pt (up); NEUTRAL read but the session trended up — missed day
2025-07-24,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,2.8,0.01,14.0,CORRECT,CORRECT,CORRECT,,False,,False,False,NY +3pt (flat); session followed the bias
2025-07-25,Friday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,62.5,0.27,61.0,WRONG,WRONG,WRONG,,False,,False,False,NY +62pt (up); NEUTRAL read but the session trended up — missed day
2025-07-28,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,19.0,0.08,20.8,CORRECT,CORRECT,CORRECT,,False,,False,False,NY +19pt (flat); session followed the bias
2025-07-29,Tuesday,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,False,-138.2,-0.59,-91.5,WRONG,WRONG,WRONG,,False,,True,False,NY -138pt (down); NEUTRAL read but the session trended down — missed day; (read flipped BULLISH->NEUTRAL at the open)
2025-07-30,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-3.0,-0.01,42.8,CORRECT,CORRECT,CORRECT,,False,,False,True,NY -3pt (flat); session followed the bias
2025-07-31,Thursday,NEUTRAL,BULLISH,LOW,BULLISH,False,-393.0,-1.65,-163.0,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),True,True,NY -393pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped NEUTRAL->BULLISH at the open); news: 08:30 Core PCE Price Index m/m
2025-08-01,Friday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-207.0,-0.9,-80.5,WRONG,WRONG,WRONG,,False,,False,True,"NY -207pt (down); NEUTRAL read but the session trended down — missed day; news: 08:30 Average Hourly Earnings m/m, 08:30 Non-Farm Employment"
2025-08-04,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,202.8,0.88,160.0,CORRECT,CORRECT,CORRECT,,False,manip->expand shape,False,False,NY +203pt (up); session followed the bias; PO3 shape played out
2025-08-05,Tuesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-214.8,-0.92,-192.0,WRONG,WRONG,WRONG,,False,,False,True,NY -215pt (down); NEUTRAL read but the session trended down — missed day; news: 10:00 ISM Services PMI
2025-08-06,Wednesday,BULLISH,BULLISH,LOW,BULLISH,False,255.5,1.1,198.8,CORRECT,CORRECT,CORRECT,,True,manip->expand shape,False,False,NY +256pt (up); session followed the bias; draw reached; PO3 shape played out
2025-08-07,Thursday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-100.0,-0.42,-103.5,WRONG,WRONG,WRONG,keep,True,no PO3 shape (high first),False,False,NY -100pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-08-08,Friday,BULLISH,BEARISH,MEDIUM,BEARISH,False,172.8,0.73,138.8,CORRECT,WRONG,WRONG,,False,no PO3 shape (low first),True,False,NY +173pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first); (read flipped BULLISH->BEARISH at the open)
2025-08-11,Monday,BEARISH,BEARISH,MEDIUM,BEARISH,False,-77.2,-0.33,48.5,CORRECT,CORRECT,CORRECT,,True,manip->expand shape,False,False,NY -77pt (down); session followed the bias; draw reached; PO3 shape played out
2025-08-12,Tuesday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,201.5,0.85,135.0,WRONG,CORRECT,CORRECT,keep,True,manip->expand shape,True,True,NY +202pt (up); session followed the bias; draw reached; PO3 shape played out
2025-08-13,Wednesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-101.5,-0.42,-119.5,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),False,False,NY -102pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-08-14,Thursday,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,False,64.2,0.27,73.5,CORRECT,WRONG,WRONG,,False,,True,False,NY +64pt (up); NEUTRAL read but the session trended up — missed day; (read flipped BULLISH->NEUTRAL at the open)
2025-08-15,Friday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,-103.2,-0.43,-121.5,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),True,True,"NY -103pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped NEUTRAL->BULLISH at the open); news: 08:30 Core Retail Sales m/m, 08:30 Retail Sales m/m"
2025-08-18,Monday,BULLISH,BULLISH,MEDIUM,BEARISH,False,28.8,0.12,-20.5,CORRECT,CORRECT,WRONG,flip,False,no PO3 shape (high first),False,False,NY +29pt (up); session followed the bias; [LEARNED: fading BULLISH/MEDIUM — trailing keep 43% vs flip 50%]
2025-08-19,Tuesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-292.2,-1.23,-203.2,WRONG,WRONG,WRONG,,False,,False,False,NY -292pt (down); NEUTRAL read but the session trended down — missed day
2025-08-20,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-101.5,-0.43,-254.5,WRONG,WRONG,WRONG,,False,,False,False,NY -102pt (down); NEUTRAL read but the session trended down — missed day
2025-08-21,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-43.0,-0.18,-56.0,WRONG,WRONG,WRONG,,False,,False,False,NY -43pt (down); NEUTRAL read but the session trended down — missed day
2025-08-22,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,300.5,1.29,304.5,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +300pt (up); session followed the bias; draw reached; PO3 shape played out
2025-08-25,Monday,BEARISH,BEARISH,MEDIUM,BEARISH,False,-0.5,-0.0,105.2,FLAT,FLAT,FLAT,,True,no PO3 shape (low first),False,False,NY -0pt (flat); bias was directional but the session chopped flat
2025-08-26,Tuesday,BEARISH,BEARISH,MEDIUM,BEARISH,False,116.2,0.5,47.0,WRONG,WRONG,WRONG,,False,no PO3 shape (low first),False,False,NY +116pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first)
2025-08-27,Wednesday,BULLISH,BEARISH,MEDIUM,BEARISH,False,79.2,0.34,82.2,CORRECT,WRONG,WRONG,,False,no PO3 shape (low first),True,False,NY +79pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first); (read flipped BULLISH->BEARISH at the open)
2025-08-28,Thursday,BULLISH,BULLISH,MEDIUM,BULLISH,False,126.5,0.54,47.2,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +126pt (up); session followed the bias; draw reached; PO3 shape played out
2025-08-29,Friday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,-178.5,-0.75,-220.2,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),True,True,NY -178pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped NEUTRAL->BULLISH at the open); news: 08:30 Core PCE Price Index m/m
2025-09-01,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,26.2,0.11,19.2,WRONG,WRONG,WRONG,,False,,False,False,NY +26pt (up); NEUTRAL read but the session trended up — missed day
2025-09-02,Tuesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,176.5,0.76,-52.8,WRONG,WRONG,WRONG,,False,,False,True,NY +176pt (up); NEUTRAL read but the session trended up — missed day; news: 10:00 ISM Manufacturing PMI
2025-09-03,Wednesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,28.8,0.12,-8.0,CORRECT,CORRECT,CORRECT,keep,True,no PO3 shape (high first),False,False,NY +29pt (up); session followed the bias; draw reached
2025-09-04,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,186.0,0.79,58.0,WRONG,WRONG,WRONG,,False,,False,True,NY +186pt (up); NEUTRAL read but the session trended up — missed day; news: 10:00 ISM Services PMI
2025-09-05,Friday,NEUTRAL,BULLISH,LOW,BULLISH,False,-184.0,-0.77,-256.0,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),True,True,"NY -184pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped NEUTRAL->BULLISH at the open); news: 08:30 Average Hourly Earnings m/m, 08:30 Non-Farm Employment"
2025-09-08,Monday,BEARISH,BEARISH,MEDIUM,BEARISH,False,19.5,0.08,88.2,FLAT,FLAT,FLAT,,False,manip->expand shape,False,False,NY +20pt (flat); bias was directional but the session chopped flat
2025-09-09,Tuesday,BEARISH,BEARISH,MEDIUM,BEARISH,False,32.2,0.14,-51.0,WRONG,WRONG,WRONG,,True,no PO3 shape (low first),False,False,NY +32pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first)
2025-09-10,Wednesday,NEUTRAL,BULLISH,LOW,BULLISH,False,-124.5,-0.52,-49.0,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),True,False,NY -124pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped NEUTRAL->BULLISH at the open)
2025-09-11,Thursday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,34.2,0.14,47.5,WRONG,CORRECT,CORRECT,keep,True,manip->expand shape,True,True,NY +34pt (up); session followed the bias; draw reached; PO3 shape played out
2025-09-12,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,69.5,0.29,50.0,CORRECT,CORRECT,CORRECT,keep,False,manip->expand shape,False,False,NY +70pt (up); session followed the bias; PO3 shape played out
2025-09-15,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,134.0,0.55,102.0,CORRECT,CORRECT,CORRECT,keep,False,manip->expand shape,False,False,NY +134pt (up); session followed the bias; PO3 shape played out
2025-09-16,Tuesday,NEUTRAL,BEARISH,MEDIUM,BEARISH,False,-64.0,-0.26,-79.0,WRONG,CORRECT,CORRECT,,False,manip->expand shape,True,True,NY -64pt (down); session followed the bias; PO3 shape played out
2025-09-17,Wednesday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,-45.8,-0.19,-109.8,WRONG,WRONG,WRONG,keep,True,manip->expand shape,True,False,NY -46pt (down); session ran down AGAINST the bullish read; (read flipped NEUTRAL->BULLISH at the open)
2025-09-18,Thursday,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,False,18.8,0.08,57.0,FLAT,CORRECT,CORRECT,,False,,True,False,NY +19pt (flat); session followed the bias
2025-09-19,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,92.8,0.37,3.5,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +93pt (up); session followed the bias; draw reached; PO3 shape played out
2025-09-22,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,183.2,0.74,95.8,WRONG,WRONG,WRONG,,False,,False,False,NY +183pt (up); NEUTRAL read but the session trended up — missed day
2025-09-23,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-169.5,-0.68,-54.8,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),False,False,NY -170pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-09-24,Wednesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-145.8,-0.59,-205.5,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),False,False,NY -146pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-09-25,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,56.0,0.23,101.5,WRONG,WRONG,WRONG,,False,,False,False,NY +56pt (up); NEUTRAL read but the session trended up — missed day
2025-09-26,Friday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,71.2,0.29,-73.2,WRONG,CORRECT,CORRECT,keep,True,manip->expand shape,True,True,NY +71pt (up); session followed the bias; draw reached; PO3 shape played out
2025-09-29,Monday,BEARISH,BEARISH,MEDIUM,BEARISH,False,-13.5,-0.05,-1.5,FLAT,FLAT,FLAT,,True,manip->expand shape,False,False,NY -14pt (flat); bias was directional but the session chopped flat
2025-09-30,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,77.8,0.31,-9.8,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +78pt (up); session followed the bias; draw reached; PO3 shape played out
2025-10-01,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,248.8,1.0,168.0,WRONG,WRONG,WRONG,,False,,False,True,NY +249pt (up); NEUTRAL read but the session trended up — missed day; news: 10:00 ISM Manufacturing PMI
2025-10-02,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-55.8,-0.22,-87.8,WRONG,WRONG,WRONG,,False,,False,False,NY -56pt (down); NEUTRAL read but the session trended down — missed day
2025-10-03,Friday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-136.8,-0.54,11.8,WRONG,WRONG,WRONG,,False,,False,True,NY -137pt (down); NEUTRAL read but the session trended down — missed day; news: 10:00 ISM Services PMI
2025-10-06,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-30.0,-0.12,-6.2,WRONG,WRONG,WRONG,keep,False,manip->expand shape,False,False,NY -30pt (down); session ran down AGAINST the bullish read
2025-10-07,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-191.8,-0.76,-207.5,WRONG,WRONG,WRONG,keep,True,no PO3 shape (high first),False,False,NY -192pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-10-08,Wednesday,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,False,250.2,1.0,174.8,CORRECT,WRONG,WRONG,,False,,True,False,NY +250pt (up); NEUTRAL read but the session trended up — missed day; (read flipped BULLISH->NEUTRAL at the open)
2025-10-09,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-34.5,-0.14,-66.0,WRONG,WRONG,WRONG,,False,,False,False,NY -34pt (down); NEUTRAL read but the session trended down — missed day
2025-10-10,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-910.8,-3.6,-486.0,WRONG,WRONG,WRONG,keep,True,no PO3 shape (high first),False,False,NY -911pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-10-13,Monday,BEARISH,BEARISH,MEDIUM,BULLISH,False,95.8,0.39,68.8,WRONG,WRONG,CORRECT,flip,True,no PO3 shape (low first),False,False,NY +96pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first); [LEARNED: fading BEARISH/MEDIUM — trailing keep 20% vs flip 50%]
2025-10-14,Tuesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,118.5,0.48,166.2,WRONG,WRONG,WRONG,,False,,False,False,NY +118pt (up); NEUTRAL read but the session trended up — missed day
2025-10-15,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-78.0,-0.31,-68.2,WRONG,WRONG,WRONG,,False,,False,False,NY -78pt (down); NEUTRAL read but the session trended down — missed day
2025-10-16,Thursday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-214.5,-0.86,-72.8,WRONG,WRONG,WRONG,keep,True,no PO3 shape (high first),False,False,NY -214pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-10-17,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,252.8,1.02,113.2,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +253pt (up); session followed the bias; draw reached; PO3 shape played out
2025-10-20,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,181.2,0.72,197.8,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +181pt (up); session followed the bias; draw reached; PO3 shape played out
2025-10-21,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-9.5,-0.04,22.0,FLAT,FLAT,FLAT,keep,True,manip->expand shape,False,False,NY -10pt (flat); bias was directional but the session chopped flat
2025-10-22,Wednesday,BEARISH,BULLISH,MEDIUM,BULLISH,False,-225.0,-0.89,-164.8,CORRECT,WRONG,WRONG,keep,False,no PO3 shape (high first),True,False,NY -225pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped BEARISH->BULLISH at the open)
2025-10-23,Thursday,BEARISH,BULLISH,LOW,BULLISH,False,236.8,0.95,177.5,WRONG,CORRECT,CORRECT,,True,manip->expand shape,True,False,NY +237pt (up); session followed the bias; draw reached; PO3 shape played out
2025-10-24,Friday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,43.0,0.17,56.5,WRONG,CORRECT,CORRECT,keep,False,manip->expand shape,True,True,NY +43pt (up); session followed the bias; PO3 shape played out
2025-10-27,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,145.2,0.56,77.2,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +145pt (up); session followed the bias; draw reached; PO3 shape played out
2025-10-28,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,108.5,0.42,9.0,CORRECT,CORRECT,CORRECT,keep,False,manip->expand shape,False,False,NY +108pt (up); session followed the bias; PO3 shape played out
2025-10-29,Wednesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,15.2,0.06,-28.2,FLAT,FLAT,FLAT,keep,True,no PO3 shape (high first),False,False,NY +15pt (flat); bias was directional but the session chopped flat
2025-10-30,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-253.2,-0.97,-134.2,WRONG,WRONG,WRONG,,False,,False,False,NY -253pt (down); NEUTRAL read but the session trended down — missed day
2025-10-31,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-206.5,-0.79,-147.0,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),False,False,NY -206pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-11-03,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-125.5,-0.48,-117.2,WRONG,WRONG,WRONG,,False,,False,True,NY -126pt (down); NEUTRAL read but the session trended down — missed day; news: 10:00 ISM Manufacturing PMI
2025-11-04,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-164.0,-0.64,14.2,WRONG,WRONG,WRONG,keep,False,no PO3 shape (high first),False,False,NY -164pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-11-05,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,198.8,0.78,232.0,WRONG,WRONG,WRONG,,False,,False,True,NY +199pt (up); NEUTRAL read but the session trended up — missed day; news: 10:00 ISM Services PMI
2025-11-06,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-415.8,-1.62,-453.5,WRONG,WRONG,WRONG,,False,,False,False,NY -416pt (down); NEUTRAL read but the session trended down — missed day
2025-11-07,Friday,BEARISH,BEARISH,MEDIUM,BULLISH,False,53.8,0.21,-363.8,WRONG,WRONG,CORRECT,flip,True,no PO3 shape (low first),False,False,NY +54pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first); [LEARNED: fading BEARISH/MEDIUM — trailing keep 18% vs flip 55%]
2025-11-10,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,174.2,0.68,-17.5,WRONG,WRONG,WRONG,,False,,False,False,NY +174pt (up); NEUTRAL read but the session trended up — missed day
2025-11-11,Tuesday,BEARISH,BEARISH,MEDIUM,BULLISH,False,42.0,0.16,-94.8,WRONG,WRONG,CORRECT,flip,True,no PO3 shape (low first),False,False,NY +42pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first); [LEARNED: fading BEARISH/MEDIUM — trailing keep 17% vs flip 58%]
2025-11-12,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-153.2,-0.59,-246.5,WRONG,WRONG,WRONG,,False,,False,False,NY -153pt (down); NEUTRAL read but the session trended down — missed day
2025-11-13,Thursday,BEARISH,BEARISH,MEDIUM,BULLISH,False,-377.2,-1.48,-284.8,CORRECT,CORRECT,WRONG,flip,True,manip->expand shape,False,False,NY -377pt (down); session followed the bias; draw reached; PO3 shape played out; [LEARNED: fading BEARISH/MEDIUM — trailing keep 15% vs flip 62%]
2025-11-14,Friday,BEARISH,BEARISH,MEDIUM,BULLISH,False,381.8,1.54,524.2,WRONG,WRONG,CORRECT,flip,True,no PO3 shape (low first),False,False,NY +382pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first); [LEARNED: fading BEARISH/MEDIUM — trailing keep 21% vs flip 57%]
2025-11-17,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-109.5,-0.44,199.0,WRONG,WRONG,WRONG,,False,,False,False,NY -110pt (down); NEUTRAL read but the session trended down — missed day
2025-11-18,Tuesday,BEARISH,BEARISH,MEDIUM,BULLISH,False,-133.2,-0.54,-65.0,CORRECT,CORRECT,WRONG,flip,True,manip->expand shape,False,False,NY -133pt (down); session followed the bias; draw reached; PO3 shape played out; [LEARNED: fading BEARISH/MEDIUM — trailing keep 20% vs flip 60%]
2025-11-19,Wednesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,113.5,0.46,103.0,WRONG,WRONG,WRONG,,False,,False,False,NY +114pt (up); NEUTRAL read but the session trended up — missed day
2025-11-20,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-1073.2,-4.26,-656.8,WRONG,WRONG,WRONG,,False,,False,True,"NY -1073pt (down); NEUTRAL read but the session trended down — missed day; news: 08:30 Average Hourly Earnings m/m, 08:30 Non-Farm Employment"
2025-11-21,Friday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,110.2,0.46,168.8,WRONG,WRONG,WRONG,,False,,False,False,NY +110pt (up); NEUTRAL read but the session trended up — missed day
2025-11-24,Monday,BEARISH,BEARISH,LOW,BEARISH,False,413.0,1.68,324.0,WRONG,WRONG,WRONG,,False,no PO3 shape (low first),False,False,NY +413pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first)
2025-11-25,Tuesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,222.8,0.9,42.0,WRONG,WRONG,WRONG,,False,,False,True,"NY +223pt (up); NEUTRAL read but the session trended up — missed day; news: 08:30 Core Retail Sales m/m, 08:30 Retail Sales m/m"
2025-11-26,Wednesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,74.2,0.29,132.0,CORRECT,CORRECT,CORRECT,keep,True,manip->expand shape,False,False,NY +74pt (up); session followed the bias; draw reached; PO3 shape played out
2025-11-27,Thursday,BEARISH,BEARISH,MEDIUM,BULLISH,False,0.2,0.0,-5.0,FLAT,FLAT,FLAT,flip,False,manip->expand shape,False,False,NY +0pt (flat); bias was directional but the session chopped flat; [LEARNED: fading BEARISH/MEDIUM — trailing keep 25% vs flip 56%]
2025-11-28,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,126.5,0.5,68.2,CORRECT,CORRECT,CORRECT,keep,False,manip->expand shape,False,False,NY +126pt (up); session followed the bias; PO3 shape played out
2025-12-01,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,147.2,0.58,180.5,WRONG,WRONG,WRONG,,False,,False,True,NY +147pt (up); NEUTRAL read but the session trended up — missed day; news: 10:00 ISM Manufacturing PMI
2025-12-02,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,107.8,0.42,16.5,CORRECT,CORRECT,CORRECT,keep,True,no PO3 shape (high first),False,False,NY +108pt (up); session followed the bias; draw reached
